CASE	SEX	FILLER	GENRE	LENGTH
101	male	silence	dialog	431
102	male	silence	dialog	686
103	female	silence	dialog	1136
104	female	uh	dialog	303
105	female	uhm	dialog	1594
106	female	uhm	dialog	988
107	female	silence	dialog	1517
108	male	silence	dialog	563
109	male	uh	dialog	1099
110	male	uh	dialog	308
111	female	uh	dialog	455
112	female	uh	monolog	1294
113	female	uh	monolog	1000
114	male	silence	monolog	663
115	male	uh	monolog	485
116	female	uhm	monolog	902
117	male	uh	monolog	902
118	female	silence	dialog	519
119	female	silence	monolog	1498
120	male	silence	monolog	997
121	female	silence	monolog	897
122	female	uhm	dialog	372
123	female	silence	monolog	393
124	female	silence	dialog	1538
125	female	uhm	dialog	1442
126	male	uh	dialog	1223
127	male	uh	dialog	1223
128	female	uh	dialog	964
129	female	silence	monolog	431
130	male	silence	monolog	720
131	female	uh	monolog	1252
132	male	uh	monolog	1029
133	male	uh	monolog	471
134	male	uh	monolog	535
135	male	silence	dialog	1445
136	female	silence	monolog	503
137	female	uh	monolog	929
138	female	uhm	dialog	1347
139	female	uh	monolog	1400
140	female	silence	monolog	414
141	female	uh	monolog	1290
142	male	uh	monolog	362
143	male	uh	dialog	1562
144	female	silence	dialog	942
145	female	silence	dialog	1190
146	male	uh	monolog	1527
147	female	silence	monolog	1120
148	male	uhm	monolog	481
149	male	uh	dialog	697
150	female	uhm	dialog	662
151	male	uhm	monolog	899
152	male	silence	monolog	1294
153	female	uhm	dialog	1065
154	female	uh	dialog	260
155	female	uhm	dialog	1013
156	male	silence	monolog	1219
157	female	silence	monolog	1431
158	female	uh	dialog	1312
159	male	uh	dialog	1228
160	female	uh	monolog	1504
161	female	uhm	monolog	1141
162	male	uh	monolog	1253
163	female	silence	dialog	555
164	female	uhm	dialog	771
165	female	silence	monolog	459
166	female	uhm	monolog	757
167	male	uh	dialog	1345
168	male	uh	monolog	1152
169	male	uhm	dialog	1250
170	female	uhm	dialog	1197
171	female	silence	dialog	861
172	male	uh	monolog	629
173	female	silence	dialog	399
174	female	silence	dialog	918
175	male	silence	monolog	1283
176	female	uhm	monolog	341
177	male	uh	dialog	496
178	female	silence	monolog	488
179	male	silence	dialog	872
180	male	silence	dialog	872
181	female	uhm	monolog	855
182	female	uhm	dialog	774
183	male	silence	monolog	1275
184	female	silence	dialog	1436
185	female	uhm	dialog	1499
186	male	uhm	monolog	1294
187	male	silence	monolog	464
188	male	uhm	dialog	294
189	female	uh	dialog	719
190	male	uh	dialog	258
191	female	uh	monolog	897
192	male	silence	monolog	836
193	female	silence	dialog	1306
194	male	silence	dialog	1058
195	male	uhm	monolog	1022
196	male	uhm	dialog	1436
197	male	uhm	monolog	645
198	female	silence	monolog	933
199	male	uh	monolog	1080
200	male	uh	dialog	504
201	female	uhm	dialog	1381
202	male	silence	monolog	357
203	female	uh	dialog	781
204	male	uh	monolog	1600
205	male	uhm	dialog	295
206	male	silence	dialog	764
207	male	uhm	monolog	885
208	female	uh	dialog	1427
209	male	uh	dialog	1550
210	female	silence	monolog	793
211	female	silence	dialog	1142
212	female	uh	dialog	914
213	female	uh	dialog	1144
214	female	uhm	monolog	540
215	female	uh	dialog	1201
216	female	uhm	monolog	627
217	male	silence	monolog	873
218	female	silence	monolog	1035
219	female	uhm	dialog	1000
220	female	uhm	dialog	441
221	female	uhm	monolog	1362
222	male	uhm	dialog	333
223	male	uh	dialog	507
224	male	uh	dialog	1173
225	female	silence	dialog	1385
226	female	uhm	dialog	449
227	male	uhm	monolog	696
228	female	silence	dialog	1125
229	male	silence	dialog	312
230	male	uh	monolog	855
231	male	silence	monolog	262
232	male	silence	dialog	1414
233	female	silence	monolog	1198
234	female	uhm	dialog	882
235	male	silence	dialog	735
236	female	silence	monolog	889
237	female	uhm	monolog	522
238	female	uh	dialog	253
239	female	uh	dialog	1004
240	male	silence	dialog	1282
241	female	silence	monolog	1285
242	female	uh	monolog	1174
243	female	silence	monolog	671
244	male	silence	dialog	672
245	female	silence	dialog	358
246	male	uh	dialog	1209
247	male	silence	monolog	1324
248	male	uh	dialog	1322
249	male	silence	dialog	268
250	female	uh	dialog	630
251	male	uhm	dialog	867
252	male	uh	dialog	510
253	female	uh	dialog	394
254	female	silence	dialog	1318
255	male	uh	dialog	1051
256	female	uhm	dialog	1221
257	male	uh	monolog	1540
258	male	silence	monolog	627
259	female	silence	dialog	366
260	female	uh	dialog	513
261	male	uh	monolog	472
262	female	uh	dialog	525
263	female	uh	monolog	569
264	male	uh	dialog	532
265	female	silence	monolog	284
266	male	uh	monolog	310
267	female	uhm	monolog	339
268	male	uhm	dialog	1335
269	male	uh	dialog	1005
270	male	silence	dialog	1297
271	male	uh	monolog	291
272	female	uh	monolog	1590
273	female	silence	dialog	392
274	male	silence	dialog	1248
275	female	silence	monolog	943
276	male	uh	monolog	1432
277	female	uh	monolog	376
278	female	uh	dialog	1539
279	male	uh	dialog	304
280	male	uh	dialog	1118
281	male	silence	dialog	470
282	female	uhm	dialog	765
283	female	silence	monolog	1053
284	male	silence	monolog	576
285	female	uh	monolog	631
286	male	silence	dialog	504
287	male	silence	dialog	1539
288	male	uh	dialog	1588
289	male	uhm	monolog	287
290	female	uhm	dialog	977
291	male	uh	monolog	862
292	male	uh	monolog	1501
293	male	silence	monolog	1166
294	female	silence	dialog	1509
295	female	uh	dialog	347
296	female	silence	monolog	460
297	male	silence	monolog	627
298	male	silence	dialog	1120
299	female	silence	dialog	604
300	female	uh	monolog	1599
301	female	uhm	dialog	698
302	male	uh	dialog	618
303	male	silence	monolog	814
304	female	uhm	dialog	531
305	male	uh	dialog	615
306	female	uh	monolog	1520
307	female	uh	monolog	783
308	male	uh	monolog	304
309	male	silence	dialog	754
310	male	uhm	monolog	497
311	female	uhm	dialog	1574
312	male	silence	dialog	867
313	female	uh	monolog	618
314	male	uh	monolog	306
315	male	uh	monolog	1236
316	female	silence	monolog	586
317	male	silence	dialog	1219
318	male	uhm	dialog	796
319	female	uhm	dialog	347
320	male	silence	dialog	728
321	male	silence	monolog	1252
322	female	silence	monolog	421
323	male	uh	monolog	354
324	female	silence	monolog	458
325	female	uhm	monolog	1464
326	female	uh	monolog	1530
327	male	uh	monolog	1360
328	male	uh	monolog	295
329	female	silence	dialog	1218
330	female	silence	monolog	1273
331	female	uhm	dialog	1229
332	male	silence	dialog	1563
333	male	silence	monolog	287
334	male	uh	dialog	550
335	male	uhm	monolog	1311
336	male	uhm	monolog	887
337	female	uh	dialog	704
338	female	uhm	dialog	679
339	female	silence	dialog	409
340	female	uhm	monolog	1025
341	male	uh	monolog	1426
342	male	uh	dialog	1317
343	male	uh	dialog	1177
344	male	uh	dialog	616
345	female	uhm	dialog	904
346	male	uh	dialog	359
347	male	uh	monolog	1141
348	male	uh	monolog	360
349	male	uh	dialog	329
350	male	uhm	monolog	1258
351	male	uhm	monolog	622
352	male	silence	monolog	345
353	male	silence	dialog	1007
354	male	uhm	dialog	1468
355	female	uh	monolog	1108
356	female	uh	dialog	382
357	female	uh	monolog	817
358	female	uh	monolog	1224
359	male	silence	monolog	685
360	male	uh	monolog	1035
361	female	uh	dialog	753
362	male	uh	dialog	966
363	female	uhm	dialog	606
364	male	silence	dialog	987
365	female	silence	monolog	837
366	male	silence	dialog	938
367	male	uh	monolog	1233
368	male	uh	monolog	583
369	female	silence	dialog	462
370	female	silence	monolog	1002
371	female	silence	monolog	1432
372	male	uhm	dialog	448
373	male	silence	monolog	1358
374	male	silence	dialog	688
375	male	uh	dialog	1279
376	male	uh	dialog	961
377	male	silence	monolog	1229
378	male	uh	dialog	1567
379	male	uh	monolog	529
380	female	silence	monolog	945
381	male	uh	dialog	568
382	male	silence	dialog	1165
383	male	uh	dialog	825
384	female	uh	monolog	1343
385	female	uh	dialog	1236
386	female	silence	dialog	759
387	female	silence	dialog	1378
388	female	silence	dialog	1442
389	male	uh	monolog	405
390	female	uhm	monolog	1439
391	female	silence	monolog	1524
392	female	uh	monolog	1526
393	male	silence	dialog	333
394	female	uh	monolog	1284
395	male	uh	dialog	1224
396	male	uhm	monolog	852
397	male	silence	dialog	1090
398	female	silence	monolog	487
399	male	uh	monolog	751
400	female	uh	dialog	797
401	female	silence	dialog	748
402	male	uh	monolog	1599
403	male	uh	monolog	1452
404	female	uh	dialog	707
405	female	uh	dialog	1245
406	female	uhm	dialog	913
407	male	uh	dialog	709
408	male	uh	dialog	347
409	male	uhm	dialog	1196
410	male	uh	dialog	1405
411	male	uh	monolog	560
412	female	silence	dialog	557
413	male	silence	dialog	869
414	female	uh	dialog	1352
415	male	uhm	dialog	1485
416	female	uhm	dialog	1120
417	male	silence	dialog	623
418	female	uhm	monolog	1227
419	male	uh	dialog	813
420	female	uh	monolog	979
421	male	silence	dialog	438
422	female	uh	monolog	530
423	female	silence	monolog	1037
424	male	uh	dialog	1160
425	female	uhm	dialog	766
426	male	uh	dialog	1498
427	male	uh	dialog	1559
428	female	silence	monolog	662
429	female	uhm	dialog	1521
430	male	uh	monolog	815
431	male	uh	dialog	754
432	male	silence	dialog	553
433	female	uhm	dialog	776
434	male	silence	dialog	1119
435	female	uh	dialog	815
436	female	uh	monolog	1105
437	female	uh	monolog	813
438	female	silence	dialog	455
439	male	silence	dialog	367
440	male	uh	dialog	468
441	female	uhm	monolog	1463
442	female	uhm	dialog	935
443	male	uhm	monolog	1081
444	female	uh	dialog	1339
445	female	uhm	dialog	545
446	female	uh	dialog	1518
447	female	uhm	monolog	1147
448	male	silence	monolog	326
449	male	silence	monolog	260
450	female	uhm	monolog	1286
451	female	uhm	dialog	454
452	male	silence	monolog	259
453	male	uh	monolog	1507
454	female	uh	monolog	1119
455	female	uhm	monolog	1159
456	female	silence	dialog	1230
457	male	uh	monolog	1211
458	male	uh	dialog	411
459	female	uhm	dialog	1479
460	female	uhm	monolog	1146
461	male	uh	monolog	281
462	female	silence	monolog	1049
463	male	uh	monolog	1496
464	male	silence	dialog	775
465	female	silence	dialog	812
466	female	silence	dialog	445
467	male	silence	dialog	1258
468	male	uh	dialog	819
469	male	uh	monolog	1515
470	male	uh	dialog	688
471	female	silence	monolog	517
472	female	uhm	dialog	864
473	male	uh	monolog	1042
474	male	silence	monolog	758
475	female	uh	dialog	633
476	male	silence	dialog	1253
477	male	uhm	dialog	640
478	female	uhm	dialog	1570
479	female	uh	monolog	425
480	female	uh	dialog	1510
481	female	uhm	dialog	943
482	female	uhm	monolog	1588
483	female	uhm	monolog	1384
484	female	uh	dialog	424
485	female	uhm	dialog	529
486	male	uh	monolog	633
487	female	uh	monolog	487
488	male	uhm	monolog	877
489	female	uhm	dialog	532
490	female	uh	dialog	417
491	female	uhm	monolog	898
492	male	silence	dialog	1555
493	male	uh	dialog	1307
494	female	uhm	monolog	527
495	female	silence	monolog	1247
496	male	uh	dialog	1584
497	female	uh	dialog	831
498	male	uh	dialog	1348
499	female	uhm	monolog	509
500	male	silence	monolog	251
501	male	uh	monolog	1136
502	female	uh	dialog	497
503	male	uhm	monolog	793
504	female	uhm	dialog	276
505	male	uhm	monolog	1352
506	male	uh	dialog	1008
507	female	uhm	monolog	498
508	female	uhm	dialog	840
509	female	silence	monolog	1227
510	female	uh	dialog	276
511	female	uh	dialog	650
512	male	uhm	monolog	1014
513	male	uh	dialog	469
514	female	uh	monolog	970
515	female	uhm	dialog	677
516	male	uh	monolog	1134
517	female	silence	dialog	1556
518	female	uhm	dialog	764
519	male	uh	monolog	1038
520	male	silence	dialog	1141
521	female	uhm	monolog	1352
522	female	uhm	monolog	745
523	female	uh	dialog	1120
524	male	uhm	monolog	1013
525	female	silence	dialog	808
526	male	uh	monolog	1499
527	female	uhm	dialog	348
528	female	uhm	monolog	949
529	female	uhm	dialog	508
530	female	silence	dialog	1082
531	male	uhm	dialog	389
532	male	uh	dialog	1027
533	male	uhm	monolog	539
534	female	silence	monolog	327
535	female	silence	dialog	1544
536	male	silence	monolog	692
537	female	silence	dialog	814
538	male	silence	dialog	1357
539	female	uhm	monolog	654
540	female	uh	monolog	509
541	male	uh	dialog	1407
542	male	silence	dialog	668
543	male	uhm	monolog	1171
544	male	silence	monolog	1136
545	female	uh	monolog	396
546	female	silence	dialog	506
547	female	silence	dialog	850
548	male	uh	monolog	576
549	female	uh	monolog	913
550	male	uh	monolog	712
551	female	silence	monolog	1496
552	male	uh	dialog	909
553	male	uh	monolog	592
554	male	silence	monolog	1506
555	female	uh	monolog	791
556	male	uh	monolog	1219
557	male	uhm	dialog	778
558	female	uh	dialog	1024
559	male	uh	monolog	1207
560	male	silence	monolog	1441
561	female	uh	dialog	577
562	female	uhm	monolog	488
563	male	uh	dialog	1412
564	female	silence	monolog	592
565	male	silence	dialog	969
566	female	uhm	monolog	837
567	male	silence	monolog	1136
568	male	uh	dialog	598
569	male	uhm	dialog	256
570	male	silence	dialog	1009
571	female	silence	monolog	1117
572	female	uh	monolog	548
573	female	silence	dialog	663
574	male	uh	monolog	586
575	male	silence	monolog	700
576	male	uhm	monolog	666
577	female	silence	monolog	632
578	female	uhm	dialog	806
579	female	silence	monolog	413
580	male	silence	dialog	861
581	male	uhm	monolog	711
582	female	silence	monolog	1241
583	male	uh	monolog	1260
584	female	silence	dialog	966
585	male	silence	monolog	284
586	male	silence	dialog	1001
587	male	uh	monolog	1301
588	female	silence	dialog	1045
589	female	uhm	dialog	888
590	male	uh	dialog	425
591	female	silence	monolog	1545
592	female	silence	dialog	774
593	male	silence	dialog	1474
594	male	uh	dialog	1295
595	female	uh	dialog	1432
596	female	uh	dialog	319
597	female	uhm	dialog	1349
598	male	uhm	dialog	1544
599	female	silence	dialog	1354
600	male	uhm	dialog	381
601	female	uhm	dialog	1560
602	female	uh	monolog	1408
603	male	silence	monolog	595
604	male	uh	dialog	1114
605	male	uh	dialog	1557
606	male	uh	monolog	782
607	female	uh	dialog	1372
608	female	uhm	dialog	297
609	female	uh	dialog	791
610	female	silence	dialog	664
611	male	uh	monolog	618
612	male	silence	dialog	1271
613	female	silence	dialog	738
614	female	uh	dialog	622
615	male	silence	monolog	447
616	male	uhm	monolog	1299
617	male	uh	dialog	812
618	female	uhm	monolog	1115
619	male	uhm	dialog	1378
620	male	uh	dialog	586
621	female	uhm	dialog	1192
622	male	uhm	monolog	1235
623	female	uh	dialog	1152
624	female	silence	dialog	1266
625	female	silence	monolog	640
626	female	uhm	monolog	715
627	female	silence	dialog	1047
628	female	silence	dialog	1454
629	male	uhm	monolog	980
630	male	silence	dialog	825
631	male	uhm	monolog	649
632	male	uh	monolog	974
633	female	uhm	dialog	911
634	male	uh	monolog	833
635	male	uh	monolog	543
636	female	uhm	dialog	889
637	male	silence	monolog	280
638	male	silence	monolog	869
639	female	uh	monolog	634
640	female	silence	dialog	1269
641	female	silence	dialog	1542
642	male	uhm	monolog	1112
643	female	uh	monolog	1408
644	female	silence	dialog	962
645	female	uh	monolog	1161
646	male	silence	dialog	1392
647	male	uh	monolog	1245
648	male	silence	dialog	1088
649	female	uhm	monolog	912
650	male	uh	dialog	570
651	female	uhm	monolog	1147
652	female	uhm	dialog	1162
653	female	silence	monolog	769
654	male	silence	dialog	1145
655	female	silence	monolog	538
656	male	uhm	dialog	378
657	male	uh	dialog	621
658	male	uh	dialog	898
659	male	silence	dialog	897
660	male	silence	monolog	1063
661	male	silence	dialog	897
662	female	silence	dialog	1322
663	male	uhm	dialog	889
664	female	silence	monolog	1159
665	female	silence	dialog	950
666	male	uh	monolog	1148
667	male	uh	dialog	1103
668	male	uh	monolog	1128
669	female	silence	monolog	1506
670	male	silence	dialog	669
671	male	silence	monolog	703
672	male	uh	dialog	1318
673	male	uh	dialog	556
674	female	silence	dialog	1367
675	female	uhm	monolog	1418
676	male	uh	dialog	314
677	female	silence	dialog	1177
678	male	uh	monolog	894
679	female	silence	monolog	1153
680	male	silence	monolog	1416
681	female	uh	monolog	380
682	male	silence	dialog	323
683	female	silence	monolog	772
684	male	uhm	dialog	1263
685	female	uh	dialog	431
686	female	uhm	dialog	760
687	female	uhm	dialog	928
688	male	silence	dialog	1526
689	female	silence	monolog	969
690	male	uhm	monolog	829
691	female	uh	monolog	314
692	female	uh	dialog	1489
693	female	uhm	dialog	1160
694	male	uh	dialog	483
695	female	silence	dialog	611
696	male	uh	dialog	266
697	male	uhm	dialog	1324
698	female	uhm	monolog	1054
699	female	uhm	monolog	1111
700	male	uh	monolog	261
701	female	silence	monolog	831
702	female	uhm	monolog	1569
703	male	silence	dialog	464
704	female	uh	monolog	1432
705	male	uh	dialog	615
706	male	uh	monolog	1533
707	male	silence	monolog	676
708	male	uh	dialog	933
709	female	uh	dialog	364
710	female	silence	dialog	734
711	female	uhm	dialog	1091
712	male	uh	dialog	1213
713	female	uh	dialog	1413
714	female	uh	dialog	868
715	female	uhm	monolog	461
716	male	uh	dialog	606
717	male	uh	monolog	1370
718	male	silence	monolog	895
719	female	uh	monolog	1564
720	male	uh	monolog	567
721	male	uh	dialog	938
722	male	silence	dialog	379
723	female	uhm	dialog	1373
724	female	uh	monolog	896
725	female	uhm	monolog	863
726	female	uhm	dialog	1374
727	female	uhm	dialog	416
728	male	silence	monolog	875
729	male	uhm	dialog	1383
730	female	silence	dialog	1486
731	female	uh	monolog	797
732	female	silence	dialog	639
733	male	uh	dialog	990
734	female	silence	monolog	1112
735	male	silence	monolog	867
736	male	uhm	monolog	444
737	male	uhm	dialog	1501
738	male	uhm	dialog	1247
739	female	silence	dialog	603
740	female	uh	monolog	1594
741	female	uh	dialog	1379
742	male	silence	monolog	1382
743	male	uhm	monolog	1347
744	female	uhm	dialog	1307
745	male	uh	dialog	513
746	female	silence	dialog	884
747	female	uh	dialog	464
748	male	silence	monolog	1480
749	male	silence	dialog	1105
750	female	uhm	dialog	1227
751	male	silence	dialog	1054
752	female	uhm	dialog	663
753	male	silence	monolog	838
754	male	uhm	monolog	305
755	female	uhm	dialog	788
756	male	uh	dialog	1375
757	male	uh	dialog	827
758	male	uhm	monolog	512
759	female	uhm	monolog	275
760	male	uh	monolog	714
761	female	uhm	monolog	1531
762	male	uhm	monolog	1568
763	female	uhm	monolog	430
764	male	uh	monolog	439
765	female	uh	monolog	1042
766	female	uh	monolog	1106
767	male	uh	monolog	880
768	female	silence	dialog	439
769	female	uhm	dialog	1349
770	female	uhm	monolog	1036
771	female	silence	dialog	1313
772	female	uh	monolog	946
773	male	silence	monolog	508
774	male	uhm	monolog	812
775	male	uh	dialog	1573
776	male	silence	monolog	374
777	female	uhm	dialog	640
778	female	uh	monolog	1287
779	male	uhm	monolog	1072
780	male	silence	monolog	646
781	female	uhm	dialog	1587
782	female	uh	dialog	291
783	female	uhm	dialog	1426
784	female	uh	monolog	1470
785	male	uhm	dialog	686
786	female	silence	dialog	901
787	female	silence	dialog	719
788	female	silence	dialog	836
789	female	uh	dialog	903
790	female	silence	dialog	1385
791	male	uh	dialog	876
792	female	uh	dialog	757
793	male	silence	monolog	528
794	male	uh	dialog	1307
795	female	silence	monolog	323
796	female	uhm	monolog	409
797	male	silence	dialog	426
798	female	uhm	monolog	869
799	male	silence	monolog	1538
800	male	silence	monolog	1350
801	female	uh	dialog	703
802	male	silence	monolog	961
803	female	uh	monolog	257
804	female	uh	dialog	1565
805	female	silence	monolog	1167
806	female	uh	monolog	1265
807	male	uh	monolog	789
808	female	uhm	monolog	340
809	female	uhm	dialog	403
810	male	silence	dialog	1177
811	female	uh	dialog	1269
812	male	silence	monolog	1492
813	male	uh	monolog	1094
814	male	silence	dialog	887
815	male	uh	dialog	1374
816	male	uh	dialog	493
817	female	uhm	monolog	1550
818	female	uhm	monolog	644
819	male	silence	dialog	667
820	female	silence	dialog	1115
821	female	uhm	dialog	1322
822	male	uh	monolog	934
823	female	uhm	monolog	922
824	male	uh	monolog	1180
825	female	uh	monolog	889
826	female	uh	dialog	1598
827	female	silence	monolog	832
828	male	uh	dialog	1173
829	female	uhm	dialog	313
830	male	uhm	dialog	1278
831	female	uh	dialog	543
832	male	uhm	monolog	954
833	male	uhm	dialog	1160
834	male	uh	dialog	618
835	male	uhm	dialog	334
836	female	uh	monolog	497
837	male	uhm	monolog	402
838	male	silence	dialog	1141
839	male	uh	monolog	1436
840	female	uhm	dialog	979
841	male	uh	dialog	820
842	female	uhm	dialog	541
843	female	silence	dialog	1430
844	male	silence	dialog	525
845	female	silence	dialog	988
846	female	silence	monolog	622
847	male	uhm	dialog	307
848	female	silence	dialog	1190
849	female	uh	monolog	1503
850	male	uh	monolog	251
851	female	silence	monolog	1525
852	female	silence	dialog	1221
853	male	silence	monolog	1346
854	male	silence	monolog	367
855	female	uh	dialog	1185
856	female	uh	monolog	1355
857	male	uhm	monolog	784
858	male	silence	monolog	1520
859	female	uh	dialog	1004
860	female	uh	monolog	526
861	male	silence	dialog	902
862	male	uh	dialog	723
863	male	uhm	dialog	366
864	female	uh	monolog	282
865	female	uh	dialog	1321
866	male	silence	dialog	490
867	male	uh	dialog	433
868	male	uh	dialog	1414
869	female	uh	monolog	1039
870	female	silence	monolog	399
871	female	silence	monolog	1266
872	male	uh	monolog	1262
873	female	uhm	dialog	1264
874	male	uh	dialog	253
875	male	uh	dialog	624
876	female	uhm	dialog	880
877	female	silence	dialog	307
878	female	uhm	dialog	1368
879	male	uh	dialog	1057
880	male	silence	dialog	810
881	male	silence	monolog	1026
882	male	uhm	dialog	1322
883	male	uhm	monolog	1527
884	male	uh	dialog	1387
885	male	silence	dialog	613
886	female	silence	monolog	1099
887	male	uh	monolog	453
888	female	uhm	dialog	1204
889	male	uhm	monolog	785
890	male	uhm	dialog	1040
891	female	silence	dialog	1278
892	female	uh	dialog	1538
893	male	uhm	dialog	1422
894	male	uh	dialog	503
895	male	uh	dialog	1494
896	female	uh	monolog	911
897	male	uh	monolog	842
898	female	uhm	dialog	596
899	male	silence	dialog	835
900	male	uhm	dialog	1108
901	male	uh	monolog	883
902	male	uh	dialog	564
903	female	uh	monolog	1453
904	female	uh	monolog	709
905	female	uhm	dialog	808
906	female	uhm	dialog	722
907	male	uh	monolog	663
908	male	uh	monolog	1512
909	female	silence	monolog	1171
910	male	silence	monolog	1153
911	male	uh	monolog	416
912	female	uhm	monolog	1206
913	female	uhm	dialog	301
914	male	uh	monolog	943
915	male	uhm	monolog	299
916	male	uhm	monolog	367
917	male	uh	dialog	495
918	male	uh	dialog	706
919	male	silence	monolog	934
920	female	silence	dialog	1196
921	female	uh	dialog	1172
922	male	silence	dialog	1010
923	male	uh	dialog	784
924	male	uh	dialog	400
925	female	silence	dialog	1482
926	female	silence	monolog	782
927	female	silence	dialog	1080
928	male	uhm	dialog	915
929	female	uhm	dialog	435
930	male	uhm	dialog	490
931	male	uh	dialog	512
932	female	silence	monolog	297
933	female	uh	dialog	819
934	male	uh	monolog	666
935	female	uhm	dialog	1186
936	female	uh	monolog	740
937	female	uhm	dialog	935
938	female	silence	monolog	543
939	male	uh	dialog	697
940	female	silence	dialog	1251
941	male	uhm	monolog	677
942	female	uh	monolog	920
943	female	silence	monolog	1299
944	male	uhm	dialog	727
945	female	silence	dialog	568
946	male	uh	dialog	1137
947	female	uh	dialog	1564
948	male	uh	dialog	842
949	male	uh	dialog	1392
950	female	uh	dialog	1029
951	female	uhm	dialog	1500
952	male	uhm	dialog	998
953	male	uh	dialog	576
954	female	uh	monolog	467
955	male	silence	dialog	1399
956	male	uh	dialog	1281
957	female	uhm	dialog	1070
958	female	uhm	dialog	579
959	male	uh	monolog	1044
960	male	silence	monolog	269
961	female	uhm	dialog	514
962	female	silence	dialog	615
963	male	uhm	dialog	1182
964	female	uh	dialog	924
965	female	uh	monolog	762
966	male	uh	dialog	1299
967	male	uh	monolog	371
968	male	silence	monolog	622
969	female	uhm	dialog	1481
970	female	uhm	monolog	547
971	male	silence	dialog	1273
972	male	uhm	monolog	1499
973	female	uhm	monolog	354
974	male	uh	monolog	472
975	male	uhm	monolog	583
976	female	uh	monolog	973
977	female	silence	monolog	1419
978	male	silence	monolog	763
979	female	silence	dialog	980
980	male	uh	dialog	1315
981	male	uh	dialog	1383
982	male	uh	monolog	1415
983	female	uh	monolog	390
984	male	uhm	dialog	829
985	male	uhm	monolog	1388
986	female	uhm	dialog	686
987	male	silence	dialog	986
988	female	uhm	dialog	1470
989	male	uhm	monolog	554
990	female	silence	dialog	479
991	male	silence	dialog	1327
992	female	uhm	monolog	846
993	male	uh	dialog	1202
994	female	uhm	monolog	945
995	male	uh	dialog	550
996	male	silence	dialog	751
997	female	uhm	dialog	1005
998	female	uhm	monolog	568
999	female	uh	dialog	984
1000	female	uh	dialog	1521
